Player,Nation,Pos,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,Player_imp,Nation_imp,Pos_imp,Squad_imp,Age_imp,Born_imp,X90s_imp,Tackles.Tkl_imp,Tackles.TklW_imp,Tackles.Def.3rd_imp,Tackles.Mid.3rd_imp,Tackles.Att.3rd_imp,Vs.Dribbles.Tkl_imp,Vs.Dribbles.Att_imp,Vs.Dribbles.Tkl._imp,Vs.Dribbles.Past_imp,Pressures.Press_imp,Pressures.Succ_imp,Pressures.._imp,Pressures.Def.3rd_imp,Pressures.Mid.3rd_imp,Pressures.Att.3rd_imp,Blocks.Blocks_imp,Blocks.Sh_imp,Blocks.ShSv_imp,Blocks.Pass_imp,Int_imp,Tkl.Int_imp,Clr_imp,Err_imp,League_imp,Year_imp,2021 Tournament Place,Results,group,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Standard.FK,Performance.PK,Performance.PKatt,Expected.xG,Expected.npxG,Expected.npxG.Sh,Expected.G.xG,Expected.np.G.xG,Total.Cmp,Total.Att,Total.Cmp.,Total.TotDist,Total.PrgDist,Short.Cmp,Short.Att,Short.Cmp.,Medium.Cmp,Medium.Att,Medium.Cmp.,Long.Cmp,Long.Att,Long.Cmp.,Ast,xA,A.xA,KP,X1.3,PPA,CrsPA,Prog,score_def,score_pass,score_shoot,score_gk,skill_score
A. Amongin,Sobianitedrucy,GK,Fighting Wave,30,1990,-1.26074192481957,-1.22919864848294,-1.04616155812897,-0.88036818291239,-0.696705394072417,-0.788627878276568,-0.771852329605549,-1.04244765897326,-1.42647576001871,-1.03712780739709,-1.61645333658559,-1.44032847459921,-0.015174510130448,-1.26630476555986,-1.32700526214449,-0.943072493846704,-1.12043871699038,-0.526830505798511,-1.32929244519736,-0.927992159190145,-0.925699033024069,-1.37302839321292,-0.900739556137752,-0.977894136006431,D,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,-0.981758455555793,-0.872542243718528,-0.663765575490685,-1.11069963776793,-0.682362523318578,-0.822326312492636,-0.319465635052316,1.06842478060453,-0.60957215561241,-0.471458216608118,-0.363898332795116,0.324997380621837,-0.860989742324068,-0.284121868703779,0.829393243092018,-0.324793411938563,-0.405117857575513,-0.427821179408586,-0.443518946563557,1.14891260959889,-0.418127568628793,-0.353302549195021,-0.415433654937086,-0.426812961743345,1.26852185870979,-0.414423028000271,-0.429221803713727,1.32250325460067,-0.381127335675944,-0.375197273092097,-0.573897867110233,-0.224389454210785,-0.357266195677659,0.124794842832355,-0.359734385326211,-0.389077837258537,-0.348348540239834,-0.311992542761116,-0.409245866163535,0.092919643008641,-0.173150706352523,0.356546006873205,-1.94534039318792,-4.72519351120514
A. Berkowitz,Sobianitedrucy,GK,Sugar Bengals,34,1985,-1.24252471074078,-1.1562416557303,-1.00492732624881,-0.814538268882622,-0.696705394072417,-0.481707136893583,-0.663959697958993,-1.03531382246773,-1.42229703333883,-0.877164428189625,-1.61868261576739,-1.4056034697909,-0.015174510130448,-1.30880323396799,-1.32494401785461,-0.91363493611111,-1.16801186705541,-0.755211667641178,-1.17500201290406,-1.06514531962311,-1.10672727151573,-1.31457713435934,-0.863309117854213,16.9958665180595,D,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,-0.612749084008317,-0.929718745371889,-0.54245041903672,-1.11069963776793,-0.72010560843935,-0.539098743761954,0.0257835835662138,-0.18638051228621,-0.145614770187898,0.321423241835332,0.766933657456977,-0.638261233651314,-1.13003711939349,-0.168988049995844,0.046470435931732,0.224085627013837,0.208473058095428,-0.417833298610652,-0.437902528121033,1.96005860314925,-0.396801116713889,-0.324647925894884,-0.423181480355487,-0.434885473869001,1.27535241688285,-0.398421116860175,-0.415814805740607,1.31436202837147,-0.340023485875567,-0.363948519034712,2.22689031215152,-0.370113825475138,-0.335987065154182,-0.220470889003827,-0.356083262232483,-0.38708637991968,-0.357083952161075,-0.29521429100106,-0.410699964093692,-7.07124674784255,0.170621826354804,0.609880695909868,-1.10707884166,-5.91306921693895
A. Chipeta,Zamlie Niabangthe,GK,Mean Colts,22,1998,-1.17512101864927,-1.20731155065715,-1.04616155812897,-0.792594964206033,-0.799236739051909,-0.379400223099254,-0.787265562697914,-1.1637228795673,-1.42694006298314,-0.90539325981447,-1.6131094178129,-1.41254847075256,-2.27635085505546,-1.29180384660474,-1.35792392649271,-0.940396352234377,-1.18386958374375,-0.481154273429977,-1.32929244519736,-1.04800117456899,-1.00024007240299,-1.33583213757882,-0.900739556137752,0.484086395664002,B,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,-0.0855928389404948,-0.856206100388996,-0.643546382748358,-1.10796366448371,-0.701234065878964,-0.599790365632814,-0.837339462980111,-1.0768874943377,0.167918931681012,0.199441478997878,-1.11778632629651,-0.397446580083026,-0.376704463599112,-1.20519241836727,-0.866939505755269,-0.141833732287763,0.453909424363805,-0.413945398702731,-0.411413151586144,-1.32983582633267,-0.396420049494124,-0.328880514270089,-0.429652191693932,-0.441054091625398,1.26559447663562,-0.386856099263469,-0.405350807322563,1.32331737722359,-0.337283229222209,-0.257818969884603,-1.77800123532709,-0.224389454210785,-0.240230977798534,-0.11257534780502,-0.371904795638639,-0.387484671387451,-0.340861044307342,-0.261657787480948,-0.408155292715917,-1.24589163652672,-0.57402829848044,-1.20420506158596,-1.27504651905585,-4.6996787959362
A. Khainza,Sobianitedrucy,GK,Black Coyotes,21,1999,2.0821168586379,-1.14894595645503,-0.994618768278765,-0.90231148758898,-0.9017680840314,-0.609590779136493,-0.771852329605549,-1.07811684150092,-1.42833297187644,-0.88657403873124,-1.62314117413099,-1.43338347363755,-0.186054269061512,-1.26063830310544,-1.32494401785461,-0.918987219335763,-1.19179844208792,-0.641021086719845,-1.48358287749066,-0.99656873940663,-0.915050313112795,-1.35708714079831,-0.839915093927002,-0.633898716789859,RFL,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,-0.770895957528664,-0.856206100388996,-0.805299924686979,-1.10750766893634,-0.745267665186531,-0.842556853116256,-0.233153330397683,0.096962618366537,0.195103934733229,-0.837403505120479,1.01822965529078,0.445404707405981,-0.322894988185228,-0.744657143535523,1.22085464667216,0.468031866548238,0.637986699065087,2.81351427054913,3.00482226524456,0.0579079216691571,3.88193977429037,6.84207887714951,1.40785954654712,1.21845639639499,1.17582142636108,2.75744670380572,2.43470916331487,1.27935475558588,5.80461059404451,6.69097657999906,-0.309746639150224,-0.297251639842962,-0.34662663041592,0.0384784098733095,-0.374338877701125,-0.109477226882942,-0.348348540239834,-0.299408853941074,-0.369258173084215,-0.219683720809509,3.38603120783821,1.20237779203981,1.47575929649201,5.87376088076429
A. Kova?evi?,Sobianitedrucy,GK,Marvelous Heels,28,1992,-0.017417063942336,-1.18542445283136,-1.01523588421885,-0.792594964206033,-0.747971066562163,-0.584014050687911,-0.725612630328454,-0.999644639940072,-1.42276133630326,-0.839525986023163,-1.59750446354031,-1.45074597604171,1.68964913129807,-1.24080568451498,-1.35998517078259,-0.948424777071357,-1.16008300871124,-0.755211667641178,-0.249259419144275,-0.970852521825448,-0.925699033024069,-1.33051838677395,-0.844593898712444,-0.891895281202288,D,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,-0.454602210487971,-0.831701885394698,-0.54245041903672,-1.11206762441003,-0.682362523318578,-0.862787393739876,-0.751027158325478,0.137440208459787,-0.808928844662006,0.138450597579151,0.515637659623179,-0.0362245997305947,-0.538132889840764,-0.284121868703779,-0.0840166985949823,0.0411259473630372,0.699345790632181,0.591445407658431,0.573723408660734,0.516343116271552,0.976516885899684,1.77189888549928,-0.022848786758535,-0.076496397799801,1.26754606468507,0.727967955483145,0.603640240137352,1.26144405788163,1.53842245000163,1.54491613687716,0.111997996573612,-0.306359413046984,-0.378545326201136,0.124794842832355,-0.373121836669882,-0.393459043404024,-0.364571448093567,-0.316187105701129,-0.407428243750839,1.03360336716201,0.901591225430557,0.20179115195848,0.0982633494232652,1.31415124583369
A. Lamunu,Dosqaly,GK,Jumping Beans,20,1999,-1.16236896879412,-1.24379004703347,-1.05647011609901,-0.781623311867738,-0.812053157174345,-0.302670037753508,-0.756439096513184,-1.1423213700507,-1.42694006298314,-1.01830858631385,-1.6142240574038,-1.4611634774842,-2.27873522378473,-1.26347153433265,-1.32494401785461,-0.927015644172743,-1.10458100030204,-0.549668621982778,-0.866421148317466,-0.987996666879569,-1.09607855160445,-1.3039496327496,-0.882024336995983,-0.547899861985716,B,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,21,Good,-0.981758455555793,-0.905214530377591,-0.562669611779047,-1.10705167338897,-0.726396122626145,-0.680712528127295,-0.751027158325478,-0.550678823125457,0.584755645148347,0.138450597579151,-1.11778632629651,1.0474413413267,-0.269085512771343,-0.284121868703779,-0.475478102175125,-0.385779971822163,0.392550332796711,-0.371815310907419,-0.377044023803535,-0.0895731680672732,-0.332478966876287,-0.200792984284442,-0.432036137976517,-0.44151102627402,1.26852185870979,-0.33855942200427,-0.357412614569898,0.921954924123738,-0.216907669092535,-0.196562167898192,-0.234034503747673,-0.24260500061883,-0.431743152509829,0.0600575181130709,-0.357300303263726,-0.359604268643446,-0.355836036172326,-0.278436039241004,-0.408155292715917,-0.607582242436375,-0.271819601521603,-0.117755759049475,0.0531704978476427,-0.36565255688462
A. Mbusa,Dosqaly,GK,Solemn Leopards,35,1985,2.08393858004578,-1.17083305428083,-0.943075978428562,-0.836481573559212,-0.914584502153837,-0.32824676620209,-0.910571427436836,-1.09238451451198,-1.42972588076973,-0.971260533605778,-1.60530694067661,-1.42991097315672,1.68567518341596,-1.26630476555986,-1.3476177050433,-0.961805485132991,-1.07286556692535,-0.709535435272645,-1.17500201290406,-0.979424594352508,-1.07478111178191,-1.33051838677395,-0.858630313068771,0.484086395664002,B,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,21,Good,-0.929042831049011,-0.913382602042357,-0.785080731944651,-1.11115563331529,-0.701234065878964,-0.761634690621776,-0.492090244361581,0.744604059858531,0.776863000050684,0.138450597579151,-0.992138327379612,0.445404707405981,-1.02241816856572,-0.687090234181555,-0.344990967648411,0.0411259473630372,0.208473058095428,-0.376172440114571,-0.374193901011807,-0.611087623942477,-0.328901261537878,-0.19437826145802,-0.421478661582212,-0.43237233330158,1.26364288858617,-0.345760282017313,-0.366961013126363,1.18817302181877,-0.246659027043284,-0.179933574943797,-0.923856181859798,-0.37922159867916,-0.250870543060272,-0.134154456044782,-0.356083262232483,-0.381112007903107,-0.344604792273588,-0.286825165121032,-0.407064719268299,0.0661624949337391,-0.36871859245275,0.190260458456426,0.542615113888954,1.30038996519109
A. Mor,Esia,GK,Blue Jaguars,35,1985,-1.02118555968351,-1.1343545579045,-1.11832146391925,-0.847453225897506,-0.888951665908964,-0.584014050687911,-0.663959697958993,-1.09238451451198,-1.42647576001871,-0.999489365230624,-1.62648509290368,-1.45074597604171,-0.374419398673894,-1.29463707783195,-1.33112775072425,-0.927015644172743,-1.07286556692535,-0.778049783825445,-0.55784028373087,-1.04800117456899,-1.10672727151573,-1.38365589482267,-0.83523628914156,0.312088686055716,C,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,16,Okay,-0.929042831049011,-0.864374172053762,-0.522231226294392,-1.11024364222056,-0.650909952384601,-0.599790365632814,-1.00996407228938,-0.753066773591705,-0.390279797657855,-0.22749469093321,-0.363898332795116,-0.397446580083026,-0.48432341442688,-0.168988049995844,-0.214503833121697,0.224085627013837,-0.221040582874231,-0.357369751766783,-0.371595259642878,0.595414302937468,-0.325057308360333,-0.210753675594091,-0.386996581423393,-0.401224621420513,1.26754606468507,-0.332013185628776,-0.35250761531144,1.12629970247681,-0.265253625762502,-0.250238287802452,-0.190289714403978,-0.297251639842962,-0.261510108322011,-0.11257534780502,-0.371904795638639,-0.376730801757621,-0.357083952161075,-0.261657787480948,-0.407064719268299,-0.301091613053761,-0.163885058170421,-0.907449076502681,-0.0996051289626287,-0.935225696270004
A. Omar,Rarita,GK,Red Anchormen,33,1986,-1.01936383827564,-1.1343545579045,-0.932767420458521,-0.803566616544327,-0.863318829664091,-0.32824676620209,-0.818092028882645,-1.13518753354517,-1.42601145705428,-0.877164428189625,-1.58635806763133,-1.34309846113594,5.67154490918008,-1.16997490383476,-1.32906650643437,-0.916311077723437,-1.09665214195787,-0.503992389614244,-0.55784028373087,-1.01371288446075,-0.925699033024069,-1.35708714079831,-0.905418360923194,-0.633898716789859,RFL,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,-0.823611582035446,-0.913382602042357,-0.70420396097534,-1.11161162886266,-0.676072009131783,-0.842556853116256,-0.837339462980111,-0.874499543871453,-1.08077887518418,-0.349476453770664,0.892581656373877,-0.156631926514739,-0.376704463599112,-0.687090234181555,-1.1279137748087,-0.0808471724041629,0.576627607497993,-0.369636746303843,-0.386767972151785,0.822855019639432,-0.332736894470451,-0.213622429937285,-0.388614259258004,-0.403052360015001,1.26364288858617,-0.364526159627062,-0.385600010308505,1.32250325460067,-0.239612652791791,-0.2488933280782,0.411481554388144,-0.279036093434918,-0.250870543060272,-0.0694171313254975,-0.353649180169997,-0.38708637991968,-0.36207561611607,-0.311992542761116,-0.405247096855603,2.16343512512654,-0.0706146007777096,-0.911016533171447,0.304358254311822,1.35179763136825
A. Soong,People's Land of Maneau,GK,Great Galactic Gorgons,22,1998,2.16045087917668,-1.10517176080344,-0.943075978428562,-0.73773670251456,-0.760787484684599,-0.737474421379404,-0.848918495067375,-1.10665218752304,-1.42183273037439,-0.971260533605778,-1.611994778222,-1.42296597219506,0.692188212886515,-1.24080568451498,-1.35792392649271,-0.951100918683684,-1.17594072539958,-0.572506738167044,1.2936449037887,-1.03085702951487,-1.02153751222554,-1.39428339643241,-0.858630313068771,-0.117905587965,A,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,28,Very Good,-0.296455336967624,-0.970559103695719,-0.522231226294392,-1.10887565557845,-0.757848693560121,-0.721173609374535,-0.751027158325478,-1.03640990424445,-0.127491434819752,-0.471458216608118,1.01822965529078,-0.51785390686717,-0.161466561943575,-0.571956415473619,-0.475478102175125,0.468031866548238,0.269832149662522,-0.412269579776903,-0.390372539211913,-2.5567718801038,-0.338624299813377,-0.167167421081425,-0.453747077335773,-0.460930748840456,0.947485624575835,-0.404967353235669,-0.420392805048502,1.16293522050823,-0.222583915017349,-0.10412675412229,-1.2805444642007,-0.33368273265905,-0.218951847275057,-0.0262589148459747,-0.370687754607397,-0.332918740302755,-0.347100624251086,-0.307797979821102,-0.410336439611153,0.997185440040879,-0.701630706038351,-0.191501006265329,0.545154915752683,1.41491415325031
