Player,Nation,Pos,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,Player_imp,Nation_imp,Pos_imp,Squad_imp,Age_imp,Born_imp,X90s_imp,Tackles.Tkl_imp,Tackles.TklW_imp,Tackles.Def.3rd_imp,Tackles.Mid.3rd_imp,Tackles.Att.3rd_imp,Vs.Dribbles.Tkl_imp,Vs.Dribbles.Att_imp,Vs.Dribbles.Tkl._imp,Vs.Dribbles.Past_imp,Pressures.Press_imp,Pressures.Succ_imp,Pressures.._imp,Pressures.Def.3rd_imp,Pressures.Mid.3rd_imp,Pressures.Att.3rd_imp,Blocks.Blocks_imp,Blocks.Sh_imp,Blocks.ShSv_imp,Blocks.Pass_imp,Int_imp,Tkl.Int_imp,Clr_imp,Err_imp,League_imp,Year_imp,2021 Tournament Place,Results,group,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Standard.FK,Performance.PK,Performance.PKatt,Expected.xG,Expected.npxG,Expected.npxG.Sh,Expected.G.xG,Expected.np.G.xG,Total.Cmp,Total.Att,Total.Cmp.,Total.TotDist,Total.PrgDist,Short.Cmp,Short.Att,Short.Cmp.,Medium.Cmp,Medium.Att,Medium.Cmp.,Long.Cmp,Long.Att,Long.Cmp.,Ast,xA,A.xA,KP,X1.3,PPA,CrsPA,Prog,score_def,score_pass,score_shoot,skill_score
A. Al-Qahtani,Byasier Pujan,FW,Wicked Gentlefolk,16,2003,-1.27622655678654,-1.11246746007871,-1.03585300015893,-0.836481573559212,-0.824869575296782,-0.32824676620209,-0.83350526197501,-1.04958149547879,-1.42183273037439,-0.952441312522547,3.39496626409514,-1.46463597796503,-2.28032480293758,1.55842676796721,2.76456465326969,3.07381606625571,-1.18386958374375,-0.709535435272645,1.2936449037887,-0.953708376771326,4.29217372350021,1.29978826163735,-0.89606075135231,0.398087540859859,C,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,15,Bad,-0.876327206542229,3.21966166032921,-0.845738310171634,-1.10887565557845,2.57612382544138,-0.761634690621776,-1.18258868159864,-0.753066773591705,-0.406590799489186,0.0774597161604242,0.138693662872481,-0.156631926514739,-0.322894988185228,-0.859790962243459,-0.997426640281983,-0.202820292171363,-0.343758766008419,-0.427787663030069,-0.446397011735596,1.95650484195078,-0.413606347510442,-0.406459156311623,-0.465581667810034,-0.471821024632614,1.27047344675924,-0.362635024674142,-0.383768810585347,1.32087500935483,-0.399134736540871,-0.398917471865278,-0.57670202027329,-0.315467186251006,-0.399824456724613,-0.0909962395652589,-0.367036631513668,-0.391865877532938,-0.353340204194829,-0.27424147630099,-0.409972915128613,,,,
A. Anwar,Dosqaly,MFFW,Strange Pioneers,28,1992,-0.553914018562621,0.397742289901114,0.201173956245953,0.107080527534129,0.854081198742392,-0.123632938613433,0.414966618506568,0.0775646723951892,0.566312563321931,-0.0302994794442447,0.610596566030087,-0.0270207789009809,-0.65974885660995,0.657459237714848,0.641483034692053,-0.0412127704925966,0.0847477513236109,-0.686697319088378,0.985064039202106,0.366390792396003,0.07528063863569,0.396450624809224,-0.59193844029856,0.226089831251573,D,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,21,Good,0.599710279647674,0.352668505996365,0.650481952760609,0.643059237415734,0.298957689821487,0.715194774902494,0.284720497530111,0.946992010324778,-0.0513734262735435,-0.0445220466770295,0.892581656373877,-0.156631926514739,0.914722946334105,0.464247952897804,0.959880377618733,0.224085627013837,-0.343758766008419,0.423863515075645,0.520381404646913,-0.319679205668087,0.381614378180115,0.259975991992314,0.640654548248068,0.685137505678326,-0.132718360792819,0.161573037083466,0.231514296395654,-0.407507319105598,0.442906986512554,0.565540919489634,-0.334984017617741,-0.224389454210785,0.185351632671012,-1.08363521859428,0.598076906261883,0.844829129897581,0.781015429577702,1.38680544794453,0.642793986305124,0.393620251365963,0.950993978137404,0.252232898160901,2.62351097524994
A. Azmi,Giumle Lizeibon,FW,Wicked Gentlefolk,23,1997,0.869761261694604,-0.682021202838082,-0.695670587147586,-0.825509921220917,-0.414744195378816,0.311171445012463,-0.756439096513184,-0.379000863958829,-1.21661082009561,-0.0491187005274754,0.203753115352047,-0.00271327553516389,-0.253611383057514,-1.08781119824571,-0.013992649490168,1.53503463916785,-0.541632057865898,-0.366963692508644,-1.17500201290406,-0.42223988009357,-0.5849399958633,-0.804457057091693,-0.559186806800464,0.398087540859859,C,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,20,Okay,3.13006025597322,1.43085396574547,1.78275674633095,0.798553719068784,1.04123836386333,1.70649126545988,2.26990350458666,1.39224550135052,-0.841550848324667,0.138450597579151,-0.112602334961318,-0.277039253298883,1.72186507754237,1.09748395579145,-0.344990967648411,2.11466898340544,1.80380943883988,-0.394774030191261,-0.395402167667904,-0.663505601619883,-0.400493641432926,-0.385300917311571,-0.363242259536207,-0.353703417963823,-0.938724225214233,-0.393693279477874,-0.395279208845195,-1.09218444498182,-0.377016950695906,-0.373607775236162,-0.0556903625772218,-0.0695573097424107,-0.218951847275057,0.232690384031162,-0.235596200139444,-0.348053816078072,-0.28720065679115,-0.299408853941074,-0.35180899792233,,,,
A. Baguma,Rarita,FW,Wild Hornets,18,2002,-1.28988946734563,6.1686404166356,-1.11832146391925,-0.946198096942158,11.914650038405,-0.763051149827986,-0.741025863420819,6.0985226830638,-1.4292615778053,8.53244611342571,2.82427079355498,2.01133700334684,-0.295735230607963,1.53292768692234,2.77074838613933,1.71701226880606,-1.14422529202289,-0.572506738167044,-0.249259419144275,-1.03085702951487,9.61653367913723,9.31823822618816,-0.853951508283329,-0.719897571594002,RFL,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,-0.401886585981188,-0.921550673707123,-0.70420396097534,-1.10933165112582,-0.757848693560121,-0.781865231245395,-0.0605287210884187,0.096962618366537,-0.937604525775835,-0.105512928095756,-0.740842329545814,0.445404707405981,-0.7533707914963,-0.687090234181555,0.307444704985161,0.102112507246637,-0.527836040709701,-0.360989520646571,-0.390176942549735,1.96183548374848,-0.359544723773596,-0.274726897447328,-0.380781292900939,-0.3961221845109,1.28120718103119,-0.43544372036158,-0.448776400757447,0.85763923691301,-0.205163712006713,-0.277504289485026,2.22969446531457,-0.397437145087204,0.727969461019682,-1.98995776466426,0.841485112510446,-0.391069294597395,0.898319532520076,3.89095952313286,-0.406337670303221,,,,
A. Berisha,People's Land of Maneau,DFFW,Punctual Rustlers,23,1997,-1.21884233243836,-0.419376028928548,-1.10801290594921,0.39234348832979,-0.837685993419218,-0.302670037753508,-0.802678795790279,-0.307662498903513,-1.42879727484087,0.157892731388062,-0.259936954461828,-1.03751841882281,-1.55786107796857,-0.0338491817240756,-0.409751553147358,-0.0733264698405172,0.576336968662213,-0.435478041061444,-0.55784028373087,0.897859289073759,0.203065277570978,-0.204003216141234,-0.395428639309984,-0.461901007181572,A,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,28,Very Good,-0.191024087954059,-0.84803802872423,-0.744642346459996,-1.11161162886266,-0.701234065878964,-0.761634690621776,-0.578402549016213,-1.03640990424445,1.32962472877911,-0.532449098026844,0.0130456639555817,-0.397446580083026,-0.430513939012996,-1.09005859965933,-0.997426640281983,0.590004986315438,0.453909424363805,-0.286482611204265,-0.284526802593602,-0.0815772053707195,-0.302953745564946,-0.290900087916583,-0.201133912320427,-0.227056364520755,0.941630860427495,-0.330267522595311,-0.303784622677421,-1.53343890660478,-0.270734139069219,-0.289975734200823,0.820327085561915,-0.342790505863072,-0.314707934630704,0.167953059311878,-0.367036631513668,-0.256845069958398,-0.211077781477482,-0.311992542761116,-0.245659849020862,,,,
A. Bondarenko,Biarizea,FW,Running Bigfoots,24,1995,-0.44096729127414,-0.244279246322191,-0.118391340825308,-0.342757218335952,-0.158415832930087,-0.277093309304926,-0.556067066312437,0.412854988155171,-0.943136374045363,0.816565469301135,0.271746130396871,0.0111767263881603,-0.348191342651917,-0.127345812221963,0.266336573933675,0.453873427787848,-0.533703199521727,-0.503992389614244,-0.249259419144275,-0.319375009768844,-0.680778475064766,-0.607848277311454,-0.65276290250931,-0.805896426398145,E,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1.91760089231723,1.81475333398947,2.02538705923889,0.740186289005469,1.40608818669746,2.232485321674,1.14784354407644,0.137440208459787,0.00299657983089174,0.321423241835332,0.0130456639555817,0.324997380621837,0.968532421747989,1.44288541191526,1.48182891572559,0.468031866548238,-0.159681491307137,-0.364173576605644,-0.371427605361011,0.0890033321557531,-0.367282551598527,-0.364551828521122,-0.345532944294147,-0.341366182451029,-0.421553392110904,-0.35063359131907,-0.358524414401815,0.056542575959143,-0.357443688886203,-0.353188841240692,-0.258711051582579,-0.187958361394697,-0.187033151489841,0.103215734592594,-0.223425789827016,-0.331325574431669,-0.209829865488733,-0.0854861440003622,-0.316183598633481,,,,
A. Bruno,People's Land of Maneau,MFFW,Silver Heels,29,1991,0.989084013910661,0.769822952939621,0.427962231586848,0.809266277184987,0.290158801355188,0.362324901909627,0.939016543646984,1.56140266554575,-0.107855341032824,1.57874392317198,0.743238677347037,0.41398678216456,-0.285402966114456,1.4224316690612,0.311683948311061,0.00695777852928458,0.766629568922316,-0.481154273429977,-0.866421148317466,0.957863796763183,0.980421831093983,1.12443448507659,-0.694872145578291,-0.289903297573286,A,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,28,Very Good,-0.191024087954059,0.295492004343004,0.145002134202419,0.286926714920041,0.154275863525196,0.10827855619389,-0.578402549016213,-0.631634003311956,0.836670006765563,1.11430470027878,-0.238250333878217,0.324997380621837,-3.81357019233723e-05,-0.514389506119651,-0.866939505755269,0.0411259473630372,0.08575487496124,-0.383043297710466,-0.377826410452245,-0.889169437722613,-0.379067346578345,-0.332153715946914,-0.364008527984181,-0.364136759107359,-0.238104115462931,-0.384092132793816,-0.384815210427151,-0.783631970894914,-0.332977111624074,-0.299757259468114,-1.06967214633878,-0.215281681006763,-0.208312282013318,0.0168993016335481,-0.186914558889732,-0.324952910947325,-0.161161141927535,0.0739072477201678,-0.29655327657636,0.919989809863015,-0.350270479786252,-0.435892663102123,-0.347211611742249
A. Caron,Sobianitedrucy,FW,Mighty Monkeys,24,1996,-0.951049285480184,-0.536107217332785,-0.128699898795348,-0.913283139927274,-0.594174049092926,0.592515457946866,-0.895158194344471,-1.08525067800645,-0.496941225226547,-0.895983649272855,0.571584180348631,0.47996429130035,-0.0533244097987787,-1.11047704806338,-0.323179292972348,2.8624008788819,-0.684351508060976,-0.0700681821131756,0.0593214454423203,-0.765122781175994,0.0433344789018678,-0.379356992701988,-0.100663937827119,-0.0319067331608568,D,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,-1.03447408006258,1.4961985390636,-0.138066564190168,-0.696655680756286,1.14817710503885,-0.0131046875478304,-1.00996407228938,-0.753066773591705,-0.401153798878743,-0.288485572351937,0.766933657456977,-0.277039253298883,-0.376704463599112,0.521814862251772,-0.60596523670184,-0.568739651472963,-0.711913315410984,-0.296973237679947,-0.273154253806999,-0.864293109333335,-0.332760191156376,-0.355625769925412,-0.270353495454056,-0.205351968711209,-2.07064529389322,-0.289899064946432,-0.292339624407685,-0.0362674030538052,-0.382888929238817,-0.361869944915413,-1.50768087040835,-0.342790505863072,-0.34662663041592,0.0384784098733095,-0.367036631513668,-0.272776728669258,-0.107500754411343,-0.311992542761116,-0.296189752093821,,,,
A. Fatimah,Nganion,DFFW,Rabid Greyhounds,19,2000,-1.24434643214866,-1.12705885862924,-0.994618768278765,-0.825509921220917,-0.824869575296782,-0.507283865342165,-0.818092028882645,-1.15658904306177,-1.42601145705428,-1.00889897577224,-1.26199794667979,-0.315238318809957,5.6588282759573,-0.348337847944241,-1.35174019362307,-0.948424777071357,-1.09665214195787,-0.800887900009712,-1.32929244519736,-0.927992159190145,-1.04283495204808,-1.30926338355447,-0.900739556137752,0.0540921216432863,E,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,27,Very Good,-0.665464708515099,-0.970559103695719,-0.805299924686979,-1.11024364222056,-0.726396122626145,-0.680712528127295,-0.146841025743051,1.02794719051128,0.414396292687784,0.0164688347416973,-0.489546331712015,0.927034014542557,-0.269085512771343,-1.03249169030536,0.56841897403859,0.285072186897437,-0.405117857575513,-0.354822506999525,-0.381235380850195,1.51139625184264,-0.342631329792394,-0.291991155142191,-0.323311159302908,-0.333065203001062,0.378597708162172,-0.375000137827853,-0.393775009072602,1.32250325460067,-0.269364010742539,-0.317975350278444,2.22296449772323,-0.388329371883182,-0.325347499892443,-0.242049997243589,-0.359734385326211,-0.387882962855223,-0.353340204194829,-0.265852350420962,-0.405247096855603,,,,
A. Guo,Esia,FW,Supreme Jaguars,19,2000,-1.28533516382593,-1.11976315935397,-0.994618768278765,-0.770651659529444,-0.927400920276273,-0.711897692930822,-0.941397893621566,-1.1423213700507,-1.42183273037439,-0.895983649272855,-0.512960141595841,-1.47158097892669,-2.28827269870181,-1.25780507187823,-1.32288277356473,1.73574526009235,-1.06493670858118,-0.503992389614244,-0.712130716024168,-1.07371739215017,-1.09607855160445,-1.37302839321292,-0.858630313068771,-0.547899861985716,C,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,16,Okay,-0.296455336967624,-0.84803802872423,-0.603107997263702,-1.10796366448371,-0.694943551692169,-0.579559825009194,-0.664714853670846,-0.672111593405206,-0.57332548487612,-0.715421742283025,0.389989660706279,-0.277039253298883,-0.48432341442688,-0.802224052889491,0.176957570458447,0.468031866548238,0.269832149662522,-0.428022277679685,-0.446117587932486,1.95650484195078,-0.397824506845573,-0.382958885077291,-0.46549652687137,-0.471744868857843,1.2646186826109,-0.435080040562941,-0.448514800796995,0.61177420479099,-0.204380781534325,-0.27787109668255,2.23305944911024,-0.215281681006763,-0.399824456724613,-0.0909962395652589,-0.353649180169997,-0.392662460468481,-0.358331868149824,-0.265852350420962,-0.405247096855603,,,,
A. Harutyunyan,Western Niasland,FWMF,Deferred Dolphins,22,1997,0.387005088606742,-0.244279246322191,-0.0977742248852264,-0.441502089380604,-0.325029268521761,0.899436199329851,-0.309455336834594,-0.436071556003081,-0.33443518767547,-0.265539742984628,0.000888709808477055,-0.277040813520816,-0.437207775211355,-0.82998715656972,0.00249730482888156,0.785714987716362,-0.414770324359162,-0.207096879218776,1.1393544714954,-0.42223988009357,-0.47845279675056,-0.331533235458146,-0.512398758946041,-0.547899861985716,E,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,0.705141528661239,1.24298831745585,1.23683854228811,0.40366157504667,0.890266023380245,0.856808559267835,0.284720497530111,0.258872978739535,-0.0858077634730193,0.199441478997878,-1.11778632629651,-0.758668560435458,1.29138927423129,1.67315304933113,0.56841897403859,-0.629726211356564,-0.895990590112266,-0.428256892329301,-0.429240390224603,-1.46043655037637,-0.419527033833259,-0.384496725520282,-0.427608809166002,-0.421786680608503,-1.7974229669707,-0.404821881316214,-0.40692040708527,-1.32746588300587,-0.385237720655982,-0.380699381054948,-0.674286550347688,-0.233497227414808,-0.293428804107227,0.0816366263528323,-0.283060800357914,-0.359604268643446,-0.283456908824904,-0.249074098660906,-0.35653481619534,-0.276433114158627,-0.744775768249957,0.259229790116323,-1.42898592350732
