Player,Nation,Pos,Age,Born,X90s.x,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League.x,Year.x,Player_imp,Nation_imp,Pos_imp,Age_imp,Born_imp,X90s_imp,Tackles.Tkl_imp,Tackles.TklW_imp,Tackles.Def.3rd_imp,Tackles.Mid.3rd_imp,Tackles.Att.3rd_imp,Vs.Dribbles.Tkl_imp,Vs.Dribbles.Att_imp,Vs.Dribbles.Tkl._imp,Vs.Dribbles.Past_imp,Pressures.Press_imp,Pressures.Succ_imp,Pressures.._imp,Pressures.Def.3rd_imp,Pressures.Mid.3rd_imp,Pressures.Att.3rd_imp,Blocks.Blocks_imp,Blocks.Sh_imp,Blocks.ShSv_imp,Blocks.Pass_imp,Int_imp,Tkl.Int_imp,Clr_imp,Err_imp,League_imp,Year_imp,2021 Tournament Place,Results,group,X90s.y,Gls,Standard.Sh,Standard.SoT,Standard.SoT.,Standard.Sh.90,Standard.SoT.90,Standard.G.Sh,Standard.G.SoT,Standard.Dist,Performance.PK,Performance.PKatt,League.y,Year.y,Standard.FK,Expected.xG,Expected.npxG,Expected.npxG.Sh,X90s,Total.Cmp,Total.Att,Total.Cmp.,Total.TotDist,Total.PrgDist,Short.Cmp,Short.Att,Short.Cmp.,Medium.Cmp,Medium.Att,Medium.Cmp.,Long.Cmp,Long.Att,Long.Cmp.,Ast,xA,A.xA,KP,X1.3,PPA,CrsPA,Prog,score_def,score_pass,score_shoot,skill_score
A. Azmi,Giumle Lizeibon,FW,23,1997,-0.638480400231452,0.535280956343742,0.676877010217806,-0.727838561983284,1.97646176321529,-0.327512496603857,1.29527827580391,0.158115032952394,2.22427491583266,-0.605431652728791,-0.371464527666838,-0.275503206028236,1.68718659829839e-05,-0.921391237438377,0.275324579835492,-0.255709271406289,-0.322819745392371,0.649685790853054,-0.633105840961797,-0.713696836001983,-0.631302358287207,-0.0839412700401958,-0.341575781971535,0.201236419382645,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,20,Okay,-0.721501573663424,2.4270980862857,1.81814425880643,1.88127027047136,0.482361113257942,1.45053994948076,1.5256441381773,0.648228817597861,1.59256678879834,-0.917168865532369,0.867171277893042,0.358544265597953,Tournament,2021,0.425219666518733,0.915058180215772,0.89859491912796,0.955395609954202,-0.623977730716689,-0.480132060048088,-0.530757672100181,0.126032248550457,-0.608748098568144,-0.747096060579367,0.0209245084796875,0.181938401686878,-0.604225347833461,-0.630951532905982,-0.57527857625931,-0.566566285387864,-0.530080760173242,-0.801316276262485,1.54000015497157,-0.102272310818366,0.4062436096416,-0.085363386613995,-0.0874803160672991,-0.0162657894778939,0.823108256129403,-0.281292904204062,0.254803243215033,0.478149547250836,0.212520607712664,0.969808326813972,3.46728066563633
A. Lekuru,Leoneku Guidisia,DFFW,23,1997,-1.33233247060341,-0.757636950096043,-0.667308819454393,-0.581391745019996,-0.573421698739807,-0.344276299660568,-0.549237622884406,-0.774152561890493,-1.06485127753212,-0.583358937827034,2.26507502967463,-1.1846286784302,-1.68784460106743,1.00680371516293,4.1295355413921,-0.782491873249517,-0.736239871289234,-0.311591310938345,0.30251585608579,-0.784087113891384,-0.699615288523685,-0.961204941703586,-0.708442275772975,0.286408468522914,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,13,Bad,-1.23153187788148,-0.571213326842936,-0.561086469607297,-0.476376865424514,-0.666834943928675,-0.496087809211256,-0.316158887765208,-0.538277107340586,-0.510215053992214,0.166224235257175,-1.034759434969,1.09733216825158,Tournament,2021,0.355351923333163,-0.194426343980048,-0.283490588647522,-0.52666973889131,-1.25229663184777,-1.31663739703406,-0.644195935249413,-3.76263026136348,-1.22714691156247,-0.987079903113289,-1.69712314950333,-0.757063616577702,-8.01477868417378,-0.475996251303964,-0.644167581738788,0.986878598288091,-1.10845579741309,-1.21068383755774,-0.450071645752688,-0.498374593987912,-0.416601436629201,-0.117531211067763,-0.697016553666327,2.59358191969956,-0.739445494211523,-0.497066026491488,-1.06493792702448,-0.750145511659919,-2.06013647631629,-0.74231738902122,-5.69222963736806
A. Mwesige,Eastern Niasland,MFFW,23,1997,-1.29347675466258,-0.752338106217191,-0.785219857144937,-0.581391745019996,-0.623224110106117,-0.260457284377013,-0.570079610440206,-0.752345132771361,-1.06320770058161,-0.715795227237575,1.3293180671787,-1.15975898465629,-1.6854921808961,1.02591577967109,0.570442979918002,1.30348260633853,4.99422242933673,-0.349043665553594,-0.633105840961797,6.34644803630495,-0.631302358287207,-0.929874096287036,-0.700466917212075,0.627096665083991,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,7,Very Bad,-1.23153187788148,-0.328925535883047,4.15007417751014,-0.33149352187784,-0.670280809167616,2.33994745991764,-0.442782845798756,-0.472360111510673,-0.39339384050385,-1.68076520765512,0.867171277893042,-0.872768905491428,Tournament,2021,-0.133722278965824,-0.691781475516105,-0.086476337351608,0.214362935531446,-1.31346041868353,-0.812435554131523,-1.10984170898295,1.55336446648973,-0.913767995344044,-1.32143640379131,-0.607155728295511,-0.756048479260659,0.95234971736635,-0.479642257929894,-0.658298659785861,0.983524874445957,-1.10375356133797,-1.21549992651415,-2.43775440469936,-0.413495533308724,-0.475376082791401,0.171979209016149,-0.636062929906425,-0.930410307933098,-0.721170011751395,-0.398987334542658,-1.09336312146041,0.111926851496834,-0.381288770366951,-0.393570720976987,-1.69668189273297
A. Ngabirano,Xikong,FW,27,1993,-0.544116518660866,-0.0793849336030407,-0.117057310231855,-0.641693375534292,0.860887748609937,-0.495150527170966,-0.497132653994906,0.00546302911847104,-1.06616613909253,0.358410231314593,0.930944963503963,0.597699375366966,-0.22111062423958,-0.0464833955091515,0.938015597984841,1.03903350902767,0.00447118760931269,-0.398980138373926,0.369345977303475,0.215454832138112,-0.647066880649471,-0.470355030177641,-0.441267763982796,-0.48013997373951,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,18,Okay,-0.605081612917998,0.00422017668680137,-0.300932016202217,0.432436835004621,2.77834112196392,-0.198220199583813,0.305449633490389,-0.801945090660241,-0.782797885465065,-0.182941613491263,-0.219646272313839,0.851069534033705,Tournament,2021,-0.902267454007089,0.0733802653085987,-0.283490588647522,-0.650175184628436,-0.512770845560747,-1.52901181054603,-1.53294813403553,-2.1605715170247,-1.46281344529795,-1.29799394080307,-1.16185201988048,-1.11642222681085,-1.04024579837358,-1.31366627361135,-1.34277275269093,-3.49570868910673,-1.11080691545065,-1.09028161364737,-2.43934709921775,-0.470081573761516,-0.181502851980401,-0.181866859975299,-0.636062929906425,-0.668727716772257,-0.574966152070373,-0.222445689034764,-1.06899866908676,0.111082185760567,-1.96718360456894,-0.251069589210281,-3.64844308160397
B. Goldberg,Xikong,MFFW,29,1992,-0.827208163372623,-0.275442157120549,0.0716003500730146,0.19391493302094,-0.49373784055371,-0.277221087433724,0.565808711350903,1.39023477818334,-0.239118217594849,1.63862769561649,1.14459236570892,1.32168379411868,0.204677426772195,0.807188819188782,1.11296602677627,0.461476680500757,0.366213797769068,-0.261654838118012,0.369345977303475,0.708186777363919,0.398646436047396,0.0796753671351191,-0.29771130988658,0.116064370242375,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,18,Okay,-0.771395842554321,2.66938587724559,0.384929724592993,0.985627783091921,1.05644226206541,0.330389924543762,0.800434196712439,2.49390470083544,3.61746782259666,-0.576161097362166,0.459614696565461,0.727938216924767,Tournament,2021,-0.133722278965824,0.991574354298243,1.52904052327488,0.70838471847995,-0.751865648646023,-1.16522693281258,-1.05998376267946,-1.4848027140093,-1.00518724256127,-0.892640266503512,-0.834861793518135,-0.559111839754358,-2.03699213695398,-1.11040140421576,-1.08664696308775,-1.70012494402878,-0.631178835788337,-0.716232038032491,0.212887447525801,-0.272030432176743,0.0535957326683997,-0.181866859975299,-0.6513013358464,0.126787360356699,-0.648068081910884,-0.24206142742453,0.153284691658147,0.501016635836216,-1.11813509869397,1.11745603292024,1.92567376863789
B. Male,Nganion,FW,23,1997,-0.299880589889938,-0.508591287790019,-0.628005140224212,-0.736453080628184,-0.473816876007186,0.628024277628667,-0.476290666439105,-0.4197818387046,-1.06616613909253,-0.208122784497167,-0.192336574726441,-0.330769192192489,-0.331086267249527,-0.770618284096205,-0.152332023876888,0.563025133868126,0.498278560208344,-0.299107192733262,0.43617609852116,0.708186777363919,-0.678595925373999,-0.766257459111721,-0.732368351455678,0.116064370242375,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,27,Very Good,-0.255821730681719,1.24594510535624,1.68097191064739,2.28957787501199,0.863818395208643,1.50088377082625,1.98609489466293,0.516394825938033,0.190712226937972,-0.00509545688575012,0.731319084117182,-1.24216285681824,Tournament,2021,0.425219666518733,1.56544565991677,1.29262342171979,0.461373827005698,-0.31259845228005,0.342881255373592,0.335581321466934,0.260866873945503,0.181528534951852,-0.168603052495221,0.585333381045717,0.683416236306015,-0.215754452599157,0.0517632077993821,-0.0568446504073385,0.572358331400465,0.271650490634844,0.0447100170810331,0.476876563948406,-0.385202513082328,2.0519337021832,-1.53291548703356,1.7944628175197,-0.330284898870903,0.859659221049659,0.797572707233067,0.624330770882097,-0.589645435029603,1.26939525416079,0.883486274303247,4.25972898663613
B. Owor,Mico,MFFW,20,2000,0.688164758319725,0.0901780705202096,0.213093595301667,-0.124822256840334,0.581994244958598,-0.444859118000834,-0.528395635328606,-0.485204126061996,-1.06287898519151,-0.274340929202437,0.0623609833606856,0.177677880518641,0.100582834190587,-0.466948814688731,0.535099458950037,-0.0229940657727343,0.1422778962416,-0.261654838118012,-0.0984648712203184,0.440703721384195,0.840053062190797,0.591412508938763,-0.624701010883516,-0.735656121160318,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,26,Very Good,0.681081762936236,1.70023471340603,0.578863044404052,1.0909974874895,0.863818395208643,0.519179254589324,0.973103230394549,1.307398775897,1.24210314833325,0.484389377808321,0.867171277893042,0.235412948489015,Tournament,2021,3.15006165075595,0.647251570927126,0.46516356627695,-0.0326479559428057,0.610418694514274,-0.535599259812391,-0.454827221766422,-0.455591668094446,-0.599040073106077,-0.493917460306347,-0.214335786394871,-0.226146799764323,-0.021070424271572,-0.517925327502157,-0.299722554341397,-1.15682168160325,-0.494813989609836,-0.672887237424759,0.54854781727581,0.80310433642631,0.3474689634794,0.332818331284989,0.666820777961498,0.147721967649567,1.07896501057119,0.621031061725173,0.628391512944373,0.287667064846234,0.476326243363909,0.961895537567849,3.74400951017253
B. Phillips,Southern Ristan,FW,27,1993,1.40977091150656,-0.800027701126855,-0.628005140224212,-0.590006263664896,-0.483777358280448,-0.226929678263591,-0.476290666439105,-0.763248847330927,0.576753380639348,-0.708437655603656,-1.12809353722237,-1.00225092408817,-0.706297284577583,-1.12312969613565,-0.91398490073654,-0.382644838115501,-0.684562355552126,-0.111845419657015,-0.766766083397166,-0.706657808213043,-0.631302358287207,-0.92291168619447,-0.576848859518111,0.541924615943722,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,24,Good,1.34079487382698,2.33624016467574,0.545752477607042,0.788059587346457,0.771124620281146,0.481421388580212,0.869501810185283,1.24148178006708,1.63150719329447,-0.14215121060009,3.31251076585852,2.4517766564499,Tournament,2021,1.33350032793114,1.52718757287554,1.41083197249734,1.20240650142845,1.3332634480279,-1.29365098992453,-1.2969233607089,-1.19518751271698,-1.25882446362852,-1.1736819084997,-1.06040950741163,-0.999681435350928,-0.979238821754799,-1.11131290587224,-1.12109146582748,-1.34597170629955,-0.9062596461829,-0.947404307940398,-0.452858861159865,-0.328616472629536,-0.416601436629201,-0.181866859975299,-0.255102781407032,-0.755955247159204,0.137777663874611,-0.320524380983594,-0.589831105738257,-1.4116201531066,-1.10892729913031,1.47413741277476,2.05321121307552
B. Sah,Sobianitedrucy,FW,30,1990,1.40422009494358,-0.736441574580636,-0.7773591212989,-0.633078856889392,-0.573421698739807,-0.260457284377013,-0.538816629106506,-0.577885699818306,-1.06485127753212,-0.369989360443384,0.500851284829365,0.0146432213340941,-0.49105083890036,-0.974480305516607,0.275324579835492,1.77737538871958,-0.271142229655263,-0.21171836529768,-0.0984648712203184,-0.354706418766037,-0.584008791200414,-0.895062045824203,-0.525009028872255,-0.820828170300588,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,Very Good,1.40732056568151,1.06422926213632,1.10390203218521,0.300724704507645,-0.0886187568344788,0.993250238925958,0.351494709138952,-0.0109411407012766,2.37137487872077,-0.282470196545724,-0.76305504741728,-0.257112319946738,Tournament,2021,-0.0638545357802541,1.06809052838071,0.583372117054498,-0.403164293154184,1.39998757912147,-0.773458602945797,-0.826703463461282,-0.0526834679494858,-0.914514766533434,-1.11614740647998,-0.500317337503854,-0.438310499026266,-0.441839130656996,-0.824189884080264,-0.86231609909047,-0.281499758806568,-0.725223557290752,-0.812553817160786,0.213683794784994,0.180657891445595,0.4650182558038,-0.021027737706459,-0.148433939827202,-0.58150018638531,0.165190887564803,-0.222445689034764,-0.496434038305922,-0.391764453367214,-0.198645575259995,0.156231260142963,-0.0251568091447085
B. Sugawara,Greri Landmoslands,FWMF,26,1994,0.149735551711088,0.381614483857046,0.488219349912936,-0.271269073803622,0.850927266336675,0.192165398154182,-0.121976877990503,0.010914886398254,-0.244706379226591,0.203901227002295,0.195773989977752,0.0588560102654968,-0.221698729282414,-0.0995724635873812,0.0614962779793019,0.45936108772227,-0.340045583971407,-0.386496020168843,0.0351953712150512,-0.270238085298756,0.766485291166897,0.713254685558678,-0.409366329739192,-0.0542797280381635,Tournament,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,19,Okay,0.110069574518192,-0.359211509753033,-0.627307603201317,-0.423692013225724,-0.667868703500357,-0.529650356774911,-0.431271576886615,-0.6041941031705,-0.315513031511607,-0.223732016382435,1.0030234716689,0.112281631380077,Tournament,2021,-0.413193251708102,-0.232684431021283,-0.086476337351608,0.0908574897943201,0.215634252210678,-0.124842158855122,-0.159796255108138,0.177891719856244,-0.2315322903535,-0.261971033654107,-0.0934681119639052,-0.229192211715452,0.730750846412832,0.029887168043803,0.0579703587251254,0.029055068974938,-0.483058399422034,-0.618304895918726,0.346275613440692,-0.243737411950347,0.1711450249928,-0.600048577874283,0.69729758984145,0.102363651848354,0.658628913988253,-0.24206142742453,0.591844834383894,0.339421809729249,0.593389149420693,-0.685208712636262,-0.995831508913122
